mode: set
zpui/internal/updater/backup.go:33.53,38.2 1 0
zpui/internal/updater/backup.go:40.117,46.54 5 0
zpui/internal/updater/backup.go:46.54,48.3 1 0
zpui/internal/updater/backup.go:50.2,51.28 2 0
zpui/internal/updater/backup.go:51.28,52.49 1 0
zpui/internal/updater/backup.go:52.49,53.12 1 0
zpui/internal/updater/backup.go:55.3,57.17 3 0
zpui/internal/updater/backup.go:57.17,59.4 1 0
zpui/internal/updater/backup.go:60.3,60.56 1 0
zpui/internal/updater/backup.go:60.56,62.4 1 0
zpui/internal/updater/backup.go:63.3,63.32 1 0
zpui/internal/updater/backup.go:66.2,79.19 5 0
zpui/internal/updater/backup.go:82.65,87.16 4 0
zpui/internal/updater/backup.go:87.16,89.3 1 0
zpui/internal/updater/backup.go:91.2,92.53 2 0
zpui/internal/updater/backup.go:92.53,94.3 1 0
zpui/internal/updater/backup.go:96.2,97.16 2 0
zpui/internal/updater/backup.go:97.16,99.3 1 0
zpui/internal/updater/backup.go:101.2,101.28 1 0
zpui/internal/updater/backup.go:101.28,102.52 1 0
zpui/internal/updater/backup.go:102.52,103.12 1 0
zpui/internal/updater/backup.go:105.3,108.17 4 0
zpui/internal/updater/backup.go:108.17,110.4 1 0
zpui/internal/updater/backup.go:111.3,111.55 1 0
zpui/internal/updater/backup.go:111.55,113.4 1 0
zpui/internal/updater/backup.go:116.2,116.12 1 0
zpui/internal/updater/backup.go:119.70,123.16 3 0
zpui/internal/updater/backup.go:123.16,125.3 1 0
zpui/internal/updater/backup.go:127.2,127.28 1 0
zpui/internal/updater/backup.go:127.28,128.17 1 0
zpui/internal/updater/backup.go:128.17,129.12 1 0
zpui/internal/updater/backup.go:131.3,133.17 3 0
zpui/internal/updater/backup.go:133.17,134.12 1 0
zpui/internal/updater/backup.go:136.3,137.54 2 0
zpui/internal/updater/backup.go:137.54,138.12 1 0
zpui/internal/updater/backup.go:140.3,140.54 1 0
zpui/internal/updater/backup.go:140.54,141.12 1 0
zpui/internal/updater/backup.go:143.3,143.33 1 0
zpui/internal/updater/backup.go:146.2,146.41 1 0
zpui/internal/updater/backup.go:146.41,148.3 1 0
zpui/internal/updater/backup.go:150.2,150.15 1 0
zpui/internal/updater/backup.go:153.85,157.54 3 0
zpui/internal/updater/backup.go:157.54,159.3 1 0
zpui/internal/updater/backup.go:161.2,161.29 1 0
zpui/internal/updater/backup.go:161.29,162.57 1 0
zpui/internal/updater/backup.go:162.57,164.4 1 0
zpui/internal/updater/backup.go:167.2,174.45 3 0
zpui/internal/updater/backup.go:177.75,180.16 3 0
zpui/internal/updater/backup.go:180.16,182.3 1 0
zpui/internal/updater/backup.go:184.2,185.55 2 0
zpui/internal/updater/backup.go:185.55,187.3 1 0
zpui/internal/updater/backup.go:189.2,189.29 1 0
zpui/internal/updater/backup.go:189.29,190.57 1 0
zpui/internal/updater/backup.go:190.57,192.4 1 0
zpui/internal/updater/backup.go:194.2,194.14 1 0
zpui/internal/updater/backup.go:197.80,200.16 3 0
zpui/internal/updater/backup.go:200.16,202.3 1 0
zpui/internal/updater/backup.go:204.2,205.55 2 0
zpui/internal/updater/backup.go:205.55,207.3 1 0
zpui/internal/updater/backup.go:209.2,210.29 2 0
zpui/internal/updater/backup.go:210.29,211.57 1 0
zpui/internal/updater/backup.go:211.57,213.4 1 0
zpui/internal/updater/backup.go:216.2,217.44 2 0
zpui/internal/updater/backup.go:220.65,223.16 3 0
zpui/internal/updater/backup.go:223.16,225.3 1 0
zpui/internal/updater/backup.go:227.2,228.55 2 0
zpui/internal/updater/backup.go:228.55,230.3 1 0
zpui/internal/updater/backup.go:232.2,232.16 1 0
zpui/internal/updater/cache.go:24.30,28.2 3 0
zpui/internal/updater/cache.go:35.29,36.24 1 0
zpui/internal/updater/cache.go:36.24,38.3 1 0
zpui/internal/updater/cache.go:39.2,39.61 1 0
zpui/internal/updater/cache.go:42.55,44.13 2 0
zpui/internal/updater/cache.go:44.13,46.3 1 0
zpui/internal/updater/cache.go:47.2,48.16 2 0
zpui/internal/updater/cache.go:48.16,50.3 1 0
zpui/internal/updater/cache.go:51.2,52.38 2 0
zpui/internal/updater/cache.go:52.38,55.3 2 0
zpui/internal/updater/cache.go:56.2,56.8 1 0
zpui/internal/updater/cache.go:59.52,61.42 2 0
zpui/internal/updater/cache.go:61.42,63.3 1 0
zpui/internal/updater/cache.go:64.2,65.16 2 0
zpui/internal/updater/cache.go:65.16,67.3 1 0
zpui/internal/updater/cache.go:68.2,68.29 1 0
zpui/internal/updater/cache.go:72.61,80.2 7 0
zpui/internal/updater/downloader.go:23.41,25.29 2 0
zpui/internal/updater/downloader.go:25.29,27.3 1 0
zpui/internal/updater/downloader.go:28.2,28.74 1 0
zpui/internal/updater/downloader.go:39.44,41.84 2 0
zpui/internal/updater/downloader.go:41.84,43.3 1 0
zpui/internal/updater/downloader.go:44.2,44.69 1 0
zpui/internal/updater/downloader.go:47.86,49.17 2 0
zpui/internal/updater/downloader.go:49.17,51.3 1 0
zpui/internal/updater/downloader.go:52.2,52.78 1 0
